StudyPackageCd,Study Package Version,FullTitle,Stage,Study Package Category Type,Category Type Description,CreditPointValue,Nominal Hour Value,Non Credit Point Value,Scheduled Hour Value,Owning Organisational Unit Code,Owning Organisational Unit Name,Study Package Sort Code,Short Title,Abbreviated Title,Primary FOE,Award Code,Award Level Type,Expected Time to Complete,Study Type,Study Package Category,Secondary FOE,Study Package Grading Scheme Code,Study Package Requisite Types,Fee Level Type,Fee Level Code,Keyword,SpkStageCd_Code,SpkCatCd_Code,AwdCd_Code,AwdLvlTypeCd_Code,FeeLvlTypeCd_Code,StudyTypeCd_Code,,,,,,,,,,,
C03001,4,Master of Architecture (Research),Active,MR,Master's Research,0,0,0,0,A,"Design, Architecture and Building",C03001,Master of Architecture (Research),MArch (Research),40101,Masters,Master's,2,Higher Degree Research,Course,,,,,,10020,No,No,,0,48,0,13/11/2014,8/10/2019,8/10/2019,AC,CR,N,N,MASTERS,MAST,,$HDR
C03001,4,Master of Architecture (Research),Active,MR,Master's Research,0,0,0,0,A,"Design, Architecture and Building",C03001,Master of Architecture (Research),MArch (Research),40101,Masters,Master's,2,Higher Degree Research,Course,,,,,,ATT02,No,No,,0,48,0,13/11/2014,8/10/2019,8/10/2019,AC,CR,N,N,MASTERS,MAST,,$HDR
C03002,5,Master of Built Environment (Research),Active,MR,Master's Research,0,0,0,0,A,"Design, Architecture and Building",C03002,Master of Built Environment (Research),MBuiltEnv(Research),40300,Masters,Master's,2,Higher Degree Research,Course,,,,,,10020,No,No,,0,48,0,13/11/2014,8/10/2019,8/10/2019,AC,CR,N,N,MASTERS,MAST,,$HDR
C03002,5,Master of Built Environment (Research),Active,MR,Master's Research,0,0,0,0,A,"Design, Architecture and Building",C03002,Master of Built Environment (Research),MBuiltEnv(Research),40300,Masters,Master's,2,Higher Degree Research,Course,,,,,,ATT02,No,No,,0,48,0,13/11/2014,8/10/2019,8/10/2019,AC,CR,N,N,MASTERS,MAST,,$HDR
C03012,4,Master of Design (Research),Active,MR,Master's Research,0,0,0,0,A,"Design, Architecture and Building",C03012,Master of Design (Research),MDesign (Research),100500,Masters,Master's,2,Higher Degree Research,Course,,,,,,10020,No,No,,0,48,0,13/11/2014,8/10/2019,8/10/2019,AC,CR,N,N,MASTERS,MAST,,$HDR
C03012,4,Master of Design (Research),Active,MR,Master's Research,0,0,0,0,A,"Design, Architecture and Building",C03012,Master of Design (Research),MDesign (Research),100500,Masters,Master's,2,Higher Degree Research,Course,,,,,,ATT02,No,No,,0,48,0,13/11/2014,8/10/2019,8/10/2019,AC,CR,N,N,MASTERS,MAST,,$HDR
C03017,7,Master of Engineering (Research),Active,MR,Master's Research,0,0,0,0,D,Engineering and Information Technology,C03017,Master of Engineering (Research),ME(Res),30900,Masters,Master's,2,Higher Degree Research,Course,,,,,,10060,No,No,,0,48,0,23/11/2021,31/05/2022,31/05/2022,AC,CR,N,N,MASTERS,MAST,,$HDR
C03017,7,Master of Engineering (Research),Active,MR,Master's Research,0,0,0,0,D,Engineering and Information Technology,C03017,Master of Engineering (Research),ME(Res),30900,Masters,Master's,2,Higher Degree Research,Course,,,,,,ATT02,No,No,,0,48,0,23/11/2021,31/05/2022,31/05/2022,AC,CR,N,N,MASTERS,MAST,,$HDR
C03024,7,Master of Laws (Research),Active,MR,Master's Research,0,0,0,0,L,Law,C03024,Master of Laws (Research),Master of Laws (Research),90900,Masters,Master's,2,Higher Degree Research,Course,,,,,,10080,No,No,,0,48,0,13/11/2014,8/10/2019,8/10/2019,AC,CR,N,N,MASTERS,MAST,,$HDR
C03024,7,Master of Laws (Research),Active,MR,Master's Research,0,0,0,0,L,Law,C03024,Master of Laws (Research),Master of Laws (Research),90900,Masters,Master's,2,Higher Degree Research,Course,,,,,,ATT02,No,No,,0,48,0,13/11/2014,8/10/2019,8/10/2019,AC,CR,N,N,MASTERS,MAST,,$HDR
C03025,6,Master of Science (Research) in Computing Sciences,Active,MR,Master's Research,0,0,0,0,D,Engineering and Information Technology,C03025,Master of Science (Research) in Computing Sciences,MSc(Res)CompSc,20100,Masters,Master's,2,Higher Degree Research,Course,,,,,,10070,No,No,,0,48,0,23/11/2021,31/05/2022,31/05/2022,AC,CR,N,N,MASTERS,MAST,,$HDR
C03025,6,Master of Science (Research) in Computing Sciences,Active,MR,Master's Research,0,0,0,0,D,Engineering and Information Technology,C03025,Master of Science (Research) in Computing Sciences,MSc(Res)CompSc,20100,Masters,Master's,2,Higher Degree Research,Course,,,,,,ATT02,No,No,,0,48,0,23/11/2021,31/05/2022,31/05/2022,AC,CR,N,N,MASTERS,MAST,,$HDR
C03026,6,Master of Science (Research) in Mathematical Sciences,Active,MR,Master's Research,0,0,0,0,N,Science,C03026,Master of Science (Research) in Mathematical Sciences,MSc(Res) Mathematical Sc,10100,Masters,Master's,2,Higher Degree Research,Course,,,,,,10100,No,No,,0,48,0,13/11/2014,8/10/2019,8/10/2019,AC,CR,N,N,MASTERS,MAST,,$HDR
C03026,6,Master of Science (Research) in Mathematical Sciences,Active,MR,Master's Research,0,0,0,0,N,Science,C03026,Master of Science (Research) in Mathematical Sciences,MSc(Res) Mathematical Sc,10100,Masters,Master's,2,Higher Degree Research,Course,,,,,,ATT02,No,No,,0,48,0,13/11/2014,8/10/2019,8/10/2019,AC,CR,N,N,MASTERS,MAST,,$HDR
