SPKID,SubjectID
CBK90167,79036
CBK90167,79606
CBK90260,57031
CBK90260,57041
CBK90260,57145
CBK90480,97101
CBK90480,97102
CBK90480,97103
CBK90480,97104
CBK90480,97105
CBK90480,97106
CBK90480,97109
CBK90480,97110
CBK90480,97111
CBK90480,97112
CBK90480,97113
CBK90480,97114
CBK90480,97115
CBK90480,97116
CBK90481,97201
CBK90481,97202
CBK90481,97203
CBK90481,97204
CBK90481,97205
CBK90481,97206
CBK90481,97207
CBK90481,97208
CBK90481,97209
CBK90481,97210
CBK90483,97401
CBK90483,97402
CBK90483,97403
CBK90483,97404
CBK90483,97405
CBK90483,97406
CBK90483,97407
CBK90483,97408
CBK90483,97409
CBK90483,97410
CBK90484,97501
CBK90484,97502
CBK90484,97503
CBK90484,97504
CBK90484,97505
CBK90484,97506
CBK90484,97507
CBK90484,97508
CBK90484,97509
CBK90484,97510
CBK90485,97601
CBK90485,97602
CBK90485,97603
CBK90485,97604
CBK90485,97605
CBK90485,97606
CBK90485,97607
CBK90485,97608
CBK90486,97801
CBK90486,97802
CBK90486,97803
CBK90486,97804
CBK90486,97805
CBK90486,97806
CBK90486,97807
CBK90486,97808
CBK90486,97809
CBK90486,97810
CBK90487,97101
CBK90487,97102
CBK90487,97103
CBK90487,97104
CBK90487,97105
CBK90487,97106
CBK90487,97109
CBK90487,97110
CBK90487,97111
CBK90487,97112
CBK90487,97113
CBK90487,97114
CBK90487,97115
CBK90487,97116
CBK90488,97201
CBK90488,97202
CBK90488,97203
CBK90488,97204
CBK90488,97205
CBK90488,97206
CBK90488,97207
CBK90488,97208
CBK90488,97209
CBK90488,97210
CBK90490,97401
CBK90490,97402
CBK90490,97403
CBK90490,97404
CBK90490,97405
CBK90490,97406
CBK90490,97407
CBK90490,97408
CBK90490,97409
CBK90490,97410
CBK90491,97501
CBK90491,97502
CBK90491,97503
CBK90491,97504
CBK90491,97505
CBK90491,97506
CBK90491,97507
CBK90491,97508
CBK90491,97509
CBK90491,97510
CBK90492,97601
CBK90492,97602
CBK90492,97603
CBK90492,97604
CBK90492,97605
CBK90492,97606
CBK90492,97607
CBK90492,97608
CBK90493,97801
CBK90493,97802
CBK90493,97803
CBK90493,97804
CBK90493,97805
CBK90493,97806
CBK90493,97807
CBK90493,97808
CBK90493,97809
CBK90493,97810
CBK90494,97101
CBK90494,97102
CBK90494,97103
CBK90494,97104
CBK90494,97105
CBK90494,97106
CBK90494,97109
CBK90494,97110
CBK90494,97111
CBK90494,97112
CBK90494,97113
CBK90494,97114
CBK90494,97115
CBK90494,97116
CBK90495,97201
CBK90495,97202
CBK90495,97203
CBK90495,97204
CBK90495,97205
CBK90495,97206
CBK90495,97207
CBK90495,97208
CBK90495,97209
CBK90495,97210
CBK90497,97401
CBK90497,97402
CBK90497,97403
CBK90497,97404
CBK90497,97405
CBK90497,97406
CBK90497,97407
CBK90497,97408
CBK90497,97409
CBK90497,97410
CBK90498,97501
CBK90498,97502
CBK90498,97503
CBK90498,97504
CBK90498,97505
CBK90498,97506
CBK90498,97507
CBK90498,97508
CBK90498,97509
CBK90498,97510
CBK90499,97601
CBK90499,97602
CBK90499,97603
CBK90499,97604
CBK90499,97605
CBK90499,97606
CBK90499,97607
CBK90499,97608
CBK90500,97801
CBK90500,97802
CBK90500,97803
CBK90500,97804
CBK90500,97805
CBK90500,97806
CBK90500,97807
CBK90500,97808
CBK90500,97809
CBK90500,97810
CBK90604,15115
CBK90604,15317
CBK90604,15325
CBK90604,15327
CBK90604,15328
CBK90604,15336
CBK90604,15346
CBK90604,15348
CBK90604,15360
CBK90604,15362
CBK90604,15364
CBK90607,35391
CBK90607,35393
CBK90607,37252
CBK90607,65409
CBK90607,65509
CBK90607,68316
CBK90607,68320
CBK90607,68416
CBK90607,68513
CBK90607,68606
CBK90607,91705
CBK90642,37010
CBK90642,60002
CBK90642,60003
CBK90642,60004
CBK90642,60005
CBK90642,60106
CBK90642,60109
CBK90642,65019
CBK90642,69505
CBK90642,69506
CBK90642,91567
CBK90648,60117
CBK90648,68109
CBK90656,21214
CBK90656,21660
CBK90656,52710
CBK90656,91100
CBK90656,91154
CBK90656,91157
CBK90656,91159
CBK90656,91168
CBK90656,91270
CBK90656,99212
CBK90657,65409
CBK90657,91116
CBK90657,91118
CBK90657,91120
CBK90657,91121
CBK90657,91126
CBK90657,91145
CBK90657,91155
CBK90657,91156
CBK90657,91178
CBK90657,91309
CBK90711,77740
CBK90711,77889
CBK90711,77890
CBK90711,77891
CBK90711,77893
CBK90711,77894
CBK90711,77895
CBK90711,77898
CBK90711,77903
CBK90711,77905
CBK90711,78015
CBK90711,78186
CBK90711,78188
CBK90711,78238
CBK90711,78258
CBK90712,77740
CBK90712,77889
CBK90712,77890
CBK90712,77891
CBK90712,77893
CBK90712,77894
CBK90712,77895
CBK90712,77898
CBK90712,77903
CBK90712,77905
CBK90712,78015
CBK90712,78186
CBK90712,78188
CBK90712,78238
CBK90712,78258
CBK90713,77740
CBK90713,77889
CBK90713,77890
CBK90713,77891
CBK90713,77893
CBK90713,77894
CBK90713,77895
CBK90713,77898
CBK90713,77903
CBK90713,77905
CBK90713,78015
CBK90713,78186
CBK90713,78188
CBK90713,78238
CBK90713,78258
CBK90797,91123
CBK90797,91161
CBK90797,91400
CBK90809,91148
CBK90921,78126
CBK90921,78210
CBK90921,78218
CBK90921,78235
CBK90921,78236
CBK90921,78238
CBK90921,78239
CBK90921,78241
CBK90921,78260
CBK90921,78270
CBK90921,78274
CBK90923,76008
CBK90923,76012
CBK90923,76033
CBK90923,76057
CBK90923,76068
CBK90923,76081
CBK90923,76109
CBK90923,76114
CBK90923,76117
CBK90923,76902
CBK90923,78039
CBK90929,70103
