CourseID,SPKID
C02058,CBK91186
C03069,CBK92167
C04006,CBK91785
C04006,STM91310
C04007,CBK90597
C04007,STM90502
C04007,STM90503
C04008,CBK90622
C04008,STM91265
C04018,STM91458
C04018,STM91459
C04038,STM91683
C04048,CBK91196
C04048,STM91154
C04109,CBK90528
C04109,STM90815
C04109,STM90816
C04143,CBK90400
C04143,CBK91084
C04143,MAJ09390
C04143,MAJ09400
C04143,MAJ09425
C04222,CBK91732
C04222,STM91221
C04222,STM91222
C04234,CBK91732
C04234,CBK91739
C04234,STM91221
C04234,STM91222
C04235,CBK90795
C04235,STM90794
C04236,CBK90920
C04236,CBK90921
C04236,STM90831
C04237,CBK92110
C04237,STM91674
C04238,STM91674
C04241,CBK90644
C04241,STM91284
C04250,CBK90921
C04250,CBK90949
C04250,SMJ09059
C04250,STM90345
C04250,STM90742
C04251,CBK90711
C04252,CBK90641
C04252,STM90755
C04255,CBK91920
C04255,STM91489
C04258,CBK90884
C04258,STM91680
C04259,CBK92111
C04259,STM91383
C04259,STM91676
C04260,CBK92206
C04260,STM91383
C04260,STM91781
C04264,CBK90928
C04264,STM90834
C04265,CBK90644
C04265,CBK90907
C04265,STM91284
C04267,CBK90908
C04267,CBK90909
C04267,STM91284
C04270,CBK91237
C04270,STM91194
C04271,CBK90743
C04271,CBK90967
C04271,STM90883
C04272,CBK90743
C04272,STM90883
C04272,STM91156
C04273,CBK90743
C04273,CBK91015
C04273,STM90867
C04274,STM90345
C04274,STM90865
C04274,STM90866
C04275,CBK90743
C04275,STM90860
C04275,STM90861
C04277,CBK90743
C04277,CBK90967
C04277,CBK90997
C04277,STM90883
C04278,CBK90717
C04278,CBK90718
C04278,CBK90955
C04283,STM90927
C04285,CBK92115
C04285,STM91383
C04285,STM91687
C04286,CBK92207
C04286,STM91383
C04286,STM91782
C04287,CBK92112
C04287,STM91383
C04287,STM91677
C04288,CBK92117
C04288,STM91383
C04288,STM91691
C04290,CBK92113
C04290,STM91383
C04290,STM91682
C04294,CBK91023
C04294,STM90960
C04295,CBK91046
C04295,CBK91047
C04295,STM90968
C04295,STM90979
C04296,CBK91046
C04296,CBK91047
C04296,CBK91053
C04296,STM90968
C04297,CBK91060
C04297,CBK91061
C04297,STM90968
C04299,STM91015
C04300,STM91016
C04301,STM91014
C04305,CBK91957
C04305,CBK91959
C04306,STM91190
C04309,CBK90743
C04309,CBK91148
C04309,STM91120
C04309,STM91122
C04310,CBK90743
C04315,STM91162
C04316,CBK91837
C04316,STM91384
C04317,STM91161
C04320,CBK90920
C04320,CBK90921
C04320,STM90792
C04320,STM90831
C04321,CBK91223
C04321,STM91174
C04324,STM91383
C04324,STM91786
C04325,STM91383
C04325,STM91785
C04362,CBK92201
C04362,STM91767
C04363,CBK90711
C04363,CBK90921
C04363,CBK91267
C04363,STM90831
C04364,CBK90921
C04364,CBK91268
C04364,STM90743
C04364,STM90831
C04365,CBK91758
C04365,STM91271
C04365,STM91272
C04365,STM91273
C04368,CBK92116
C04368,STM91383
C04368,STM91688
C04369,CBK92114
C04369,STM91383
C04369,STM91684
C04370,CBK92163
C04370,STM91736
C04371,CBK92118
C04371,STM91383
C04371,STM91692
C04372,CBK91915
C04372,CBK91916
C04372,STM91478
C04373,STM91515
C04374,STM91274
C04379,CBK91802
C04379,CBK91805
C04379,CBK91806
C04379,STM91343
C04380,CBK91802
C04380,CBK91803
C04380,CBK91805
C04380,STM91343
C04381,CBK92021
C04381,STM91581
C04382,CBK92121
C04382,STM91699
C04383,CBK92122
C04383,STM91699
C04384,CBK91761
C04384,STM91280
C04385,CBK91760
C04385,STM91277
C04386,STM91288
C04388,CBK91764
C04388,STM91283
C04388,STM91284
C04389,STM91283
C04389,STM91286
C04389,STM91287
C04390,CBK91763
C04390,STM91283
C04390,STM91284
C04391,STM91284
C04391,STM91294
C04392,CBK91767
C04392,STM91284
C04392,STM91294
C04393,STM91284
C04393,STM91292
C04393,STM91296
C04394,CBK91769
C04394,CBK91770
C04394,CBK91771
C04394,CBK92007
C04394,STM91564
C04395,CBK90641
C04395,STM90755
C04395,STM91302
C04397,CBK91223
C04397,CBK91800
C04397,STM91174
C04403,CBK91825
C04403,CBK91826
C04403,STM91379
C04403,STM91380
C04408,CBK91885
C04408,STM91436
C04409,CBK91888
C04409,STM91437
C04409,STM91439
C04410,CBK91145
C04410,CBK91760
C04410,STM91277
C04411,CBK91147
C04411,CBK91769
C04411,CBK91770
C04411,CBK91771
C04411,CBK92007
C04411,STM91564
C04412,CBK91894
C04412,STM91454
C04412,STM91455
C04413,CBK91896
C04413,STM91481
C04413,STM91482
C04417,CBK91902
C04417,STM91457
C04418,STM91462
C04419,STM91463
C04419,STM91543
C04420,CBK91958
C04420,CBK91959
C04424,CBK91993
C04424,CBK92073
C04424,STM91665
C04425,CBK92006
C04427,STM91572
C04427,STM91573
C04428,CBK92013
C04428,STM91549
C04428,STM91550
C04429,CBK91984
C04429,STM91549
C04429,STM91550
C04430,CBK92126
C04430,STM91576
C04430,STM91717
C04431,CBK92016
C04431,CBK92126
C04431,STM91576
C04431,STM91717
C04432,CBK92018
C04432,STM91578
C04433,CBK92018
C04433,STM90345
C04433,STM91578
C04434,CBK92248
C04434,CBK92249
C04434,STM91584
C04434,STM91585
C04435,CBK92022
C04435,STM91582
C04435,STM91584
C04438,STM91581
C04438,STM91597
C04439,STM91626
C04439,STM91627
C04439,STM91628
C04440,STM91635
C04441,STM91623
C04441,STM91624
C04441,STM91625
C04443,CBK92147
C04443,CBK92150
C04443,STM91715
C04443,STM91716
C04443,STM91717
C04444,CBK92160
C04444,STM91724
C04444,STM91726
C04445,CBK92214
C04445,STM91790
C04446,CBK92225
C04446,CBK92226
C04446,STM91792
C04446,STM91793
C04447,CBK92232
C04447,STM91805
C04447,STM91806
C06006,CBK90377
C06006,STM91264
C06009,CBK91833
C06017,STM91689
C06041,CBK90528
C06041,STM90815
C06099,CBK90713
C06104,CBK91222
C06104,STM91175
C06108,CBK90743
C06108,CBK90961
C06108,CBK90998
C06109,CBK90743
C06109,CBK90961
C06109,STM90863
C06110,CBK90743
C06110,CBK90958
C06110,STM90861
C06113,CBK91036
C06113,STM90968
C06116,CBK91956
C06116,CBK91959
C06122,STM91220
C06123,STM91221
C06123,STM91222
C06124,CBK91918
C06124,STM91479
C06125,STM91570
C06126,CBK91753
C06126,STM91268
C06129,CBK91759
C06129,STM91276
C06130,STM91290
C06132,STM91457
C06135,CBK91825
C06135,CBK91827
C06135,STM91379
C06135,STM91381
C06141,CBK91996
C06142,CBK92023
C06142,STM91583
C06143,CBK92024
C06143,CBK92025
C06144,STM91626
C06145,STM91623
C06147,CBK92148
C06147,CBK92149
C06147,STM91715
C06148,STM91738
C06148,STM91739
C06148,STM91740
C06149,STM91741
C06149,STM91742
C06150,CBK92212
C06150,STM91789
C07002,STM90502
C07002,STM90503
C07004,CBK90604
C07004,STM91311
C07018,STM91678
C07019,STM91693
C07021,CBK91937
C07021,STM91681
C07029,STM91685
C07073,CBK90942
C07113,STM91697
C07119,STM91549
C07119,STM91550
C07122,CBK90931
C07122,STM90835
C07123,CBK90647
C07123,STM91284
C07129,STM91788
C07130,CBK91808
C07130,STM91357
C07131,CBK91756
C07131,STM91272
C07131,STM91273
C07135,CBK92123
C07135,STM91700
C07136,STM91283
C07136,STM91285
C07137,STM91285
C07137,STM91293
C07138,CBK91802
C07138,CBK91805
C07138,STM91343
C07140,CBK92009
C07140,STM91564
C07143,CBK91886
C07144,STM91437
C07144,STM91439
C07145,CBK91894
C07147,CBK92053
C07147,STM91636
C07149,CBK92159
C07149,STM91724
C07150,STM91805
C07150,STM91806
C09004,CBK90793
C09019,CBK90304
C09031,STM91758
C09048,CBK91983
C09055,STM90725
C09063,STM91298
C09066,CBK90011
C09066,CBK90173
C09066,STM90106
C09066,STM90848
C09066,STM90849
C09066,STM90994
C09066,STM91414
C09067,CBK90011
C09067,CBK90173
C09067,STM90106
C09067,STM90848
C09067,STM90849
C09067,STM90993
C09067,STM91414
C09070,CBK90169
C09070,CBK90905
C09070,STM90108
C09070,STM90272
C09070,STM90994
C09071,CBK90169
C09071,CBK90905
C09071,STM90108
C09071,STM90272
C09071,STM90993
C09072,CBK90176
C09072,CBK90586
C09072,STM90106
C09072,STM90994
C09073,CBK90176
C09073,CBK90586
C09073,STM90106
C09073,STM90993
C09074,CBK90176
C09074,CBK92145
C09074,STM90106
C09074,STM90994
C09075,CBK90176
C09075,CBK92145
C09075,STM90106
C09075,STM90993
C09076,CBK90954
C09076,STM90106
C09076,STM90839
C09076,STM90994
C09079,CBK90284
