SPKID,SPKID2
CBK90005,MAJ09432
CBK90005,MAJ09434
CBK90005,MAJ09435
CBK90005,MAJ09436
CBK90005,MAJ09437
CBK90005,MAJ09438
CBK90005,MAJ09440
CBK90005,MAJ09441
CBK90005,MAJ09445
CBK90011,SMJ03049
CBK90011,SMJ03050
CBK90011,SMJ03053
CBK90011,SMJ03060
CBK90011,SMJ03433
CBK90011,SMJ09034
CBK90011,SMJ09035
CBK90011,SMJ09036
CBK90011,SMJ10131
CBK90011,SMJ10156
CBK90011,SMJ10157
CBK90011,SMJ10158
CBK90011,SMJ10165
CBK90011,SMJ10166
CBK90011,SMJ10167
CBK90011,SMJ10174
CBK90011,SMJ10175
CBK90011,SMJ10176
CBK90011,SMJ10177
CBK90011,SMJ10188
CBK90011,SMJ10189
CBK90011,SMJ10190
CBK90011,SMJ10195
CBK90011,SMJ10196
CBK90169,MAJ08437
CBK90169,MAJ08438
CBK90169,MAJ08440
CBK90169,MAJ08441
CBK90169,MAJ08442
CBK90169,MAJ08446
CBK90169,MAJ08981
CBK90169,MAJ09209
CBK90170,CBK90171
CBK90170,CBK91014
CBK90170,MAJ02041
CBK90170,MAJ08437
CBK90170,MAJ08438
CBK90170,MAJ08440
CBK90170,MAJ08441
CBK90170,MAJ08442
CBK90170,MAJ08446
CBK90170,MAJ08981
CBK90170,MAJ09209
CBK90170,MAJ09401
CBK90170,SMJ01007
CBK90170,SMJ01009
CBK90170,SMJ01025
CBK90170,SMJ02036
CBK90170,SMJ02037
CBK90170,SMJ08109
CBK90170,SMJ08116
CBK90170,SMJ08120
CBK90170,SMJ08123
CBK90170,SMJ08126
CBK90170,SMJ08128
CBK90170,SMJ08129
CBK90170,SMJ08130
CBK90170,SMJ08131
CBK90170,SMJ08137
CBK90170,SMJ08138
CBK90170,SMJ08139
CBK90170,SMJ08195
CBK90170,SMJ08203
CBK90170,SMJ08204
CBK90170,SMJ08215
CBK90170,SMJ08219
CBK90170,SMJ08223
CBK90170,SMJ09028
CBK90170,SMJ09030
CBK90170,SMJ09033
CBK90170,SMJ09034
CBK90170,SMJ09035
CBK90170,SMJ09036
CBK90170,SMJ09058
CBK90170,SMJ10086
CBK90170,SMJ10159
CBK90173,MAJ03001
CBK90173,MAJ03002
CBK90173,MAJ03005
CBK90173,MAJ03007
CBK90173,MAJ03012
CBK90173,MAJ03472
CBK90173,MAJ03504
CBK90173,MAJ03518
CBK90173,MAJ03523
CBK90173,MAJ03524
CBK90173,MAJ03537
CBK90173,MAJ03540
CBK90173,MAJ03544
CBK90173,MAJ03549
CBK90176,MAJ03025
CBK90176,MAJ03028
CBK90176,MAJ03030
CBK90176,MAJ03505
CBK90176,MAJ03517
CBK90176,MAJ03522
CBK90176,MAJ03525
CBK90176,MAJ03541
CBK90176,MAJ03548
CBK90178,MAJ03134
CBK90178,MAJ03139
CBK90178,MAJ03413
CBK90178,MAJ03507
CBK90178,MAJ03515
CBK90178,MAJ03520
CBK90178,MAJ03527
CBK90178,MAJ03542
CBK90178,MAJ03546
CBK90178,MAJ03547
CBK90186,CBK90187
CBK90186,MAJ02041
CBK90186,MAJ08438
CBK90186,MAJ08440
CBK90186,MAJ08441
CBK90186,MAJ08442
CBK90186,MAJ08446
CBK90186,MAJ08981
CBK90186,MAJ09209
CBK90186,MAJ09401
CBK90186,SMJ01007
CBK90186,SMJ01009
CBK90186,SMJ01025
CBK90186,SMJ02036
CBK90186,SMJ02037
CBK90186,SMJ08109
CBK90186,SMJ08120
CBK90186,SMJ08123
CBK90186,SMJ08126
CBK90186,SMJ08128
CBK90186,SMJ08129
CBK90186,SMJ08130
CBK90186,SMJ08137
CBK90186,SMJ08138
CBK90186,SMJ08139
CBK90186,SMJ08195
CBK90186,SMJ08203
CBK90186,SMJ08204
CBK90186,SMJ08215
CBK90186,SMJ08219
CBK90186,SMJ09028
CBK90186,SMJ09030
CBK90186,SMJ09033
CBK90186,SMJ09034
CBK90186,SMJ09035
CBK90186,SMJ09036
CBK90186,SMJ09058
CBK90186,SMJ10086
CBK90186,SMJ10159
CBK90230,SMJ10196
CBK90284,CBK90246
CBK90284,CBK91194
CBK90284,SMJ03029
CBK90284,SMJ08197
CBK90284,SMJ08198
CBK90284,SMJ09035
CBK90284,SMJ09036
CBK90400,CBK90924
CBK90400,STM90560
CBK90417,CBK90418
CBK90417,CBK90483
CBK90417,CBK90485
CBK90417,CBK90486
CBK90418,CBK90490
CBK90418,CBK90492
CBK90418,CBK90493
CBK90508,CBK90509
CBK90508,SMJ06020
CBK90508,SMJ06023
CBK90508,SMJ06027
CBK90508,SMJ06032
CBK90508,SMJ06033
CBK90508,SMJ06034
CBK90508,SMJ07002
CBK90508,SMJ08194
CBK90571,SMJ10156
CBK90571,SMJ10188
CBK90571,SMJ10189
CBK90571,SMJ10190
CBK90571,SMJ10196
CBK90572,MAJ01100
CBK90573,MAJ01103
CBK90573,MAJ01105
CBK90574,MAJ01110
CBK90575,CBK92137
CBK90575,SMJ01031
CBK90575,SMJ02054
CBK90575,SMJ10030
CBK90585,MAJ01079
CBK90585,MAJ01080
CBK90585,MAJ01082
CBK90585,MAJ01112
CBK90585,MAJ01114
CBK90585,MAJ01116
CBK90585,MAJ01117
CBK90586,MAJ01087
CBK90586,MAJ01088
CBK90586,MAJ01089
CBK90586,MAJ01095
CBK90586,MAJ01119
CBK90586,MAJ01120
