StudyPackageCd,Study Package Version,FullTitle,Stage,Study Package Category Type,Category Type Description,CreditPointValue,Nominal Hour Value,Non Credit Point Value,Scheduled Hour Value,Owning Organisational Unit Code,Owning Organisational Unit Name,Study Package Sort Code,Short Title,Abbreviated Title,Primary FOE,Award Code,Award Level Type,Expected Time to Complete,Study Type,Study Package Category,Secondary FOE,Study Package Grading Scheme Code,Study Package Requisite Types,Fee Level Type,Fee Level Code,Keyword,SpkStageCd_Code,SpkCatCd_Code,AwdCd_Code,AwdLvlTypeCd_Code,FeeLvlTypeCd_Code,StudyTypeCd_Code
MAJ00000,1,FEIT Undergraduate FILO,Draft,MJ,Major,0,0,0,0,D,Engineering and Information Technology,MAJ00000,FEIT Undergraduate FILO,FEIT Undergraduate FILO,30000,,NA,0,Not Applicable,Major,,,,,,10060,DR,MJ,,,,$NAP
MAJ00001,1,FEIT Postgraduate FILO,Draft,MJ,Major,0,0,0,0,D,Engineering and Information Technology,MAJ00001,FEIT Postgraduate FILO,FEIT Postgraduate FILO,30000,,NA,0,Not Applicable,Major,,,,,,10060,DR,MJ,,,,$NAP
MAJ01079,5,"Chemistry Major BScLLB, BScBBus",Active,MJ,Major,96,0,0,0,N,Science,MAJ01079,Chemistry,Chemistry Major,10500,,NA,0,Not Applicable,Major,,,,,,10100,AC,MJ,,,,$NAP
MAJ01080,3,"Applied Physics Major BScLLB, BScBBus",Active,MJ,Major,96,0,0,0,N,Science,MAJ01080,Applied Physics,Applied Physics Major,10301,,NA,0,Not Applicable,Major,,,,,,10100,AC,MJ,,,,$NAP
MAJ01080,4,"Physics Major BScLLB, BScBBus",Draft,MJ,Major,96,0,0,0,N,Science,MAJ01080,Physics,Physics major,10301,,NA,0,Not Applicable,Major,,,,,,10100,DR,MJ,,,,$NAP
MAJ01081,4,Biomedical Science major BScLLB,Active,MJ,Major,96,0,0,0,N,Science,MAJ01081,Biomedical Science,Biomedical Science,19901,,NA,0,Not Applicable,Major,,,,,,10100,AC,MJ,,,,$NAP
MAJ01082,5,"Environmental Biology Major BScLLB, BScBBus",Active,MJ,Major,96,0,0,0,N,Science,MAJ01082,Environmental Biology,Environmental Biology Major,10999,,NA,0,Not Applicable,Major,,,,,,10100,AC,MJ,,,,$NAP
MAJ01085,5,"Nanotechnology Major BScLLB, BScBBus",Active,MJ,Major,96,0,0,0,N,Science,MAJ01085,Nanotechnology,Nanotechnology Major,19999,,NA,0,Not Applicable,Major,,,,,,10100,AC,MJ,,,,$NAP
MAJ01087,6,Chemistry Major BEBSc,Active,MJ,Major,78,0,0,0,N,Science,MAJ01087,Chemistry,Chemistry Major,10500,,NA,0,Not Applicable,Major,,,,,,10100,AC,MJ,,,,$NAP
MAJ01088,3,Applied Physics Major BEBSc,Active,MJ,Major,78,0,0,0,N,Science,MAJ01088,Applied Physics,Applied Physics Major,10301,,NA,0,Not Applicable,Major,,,,,,10100,AC,MJ,,,,$NAP
MAJ01088,4,Physics Major BEBSc,Draft,MJ,Major,78,0,0,0,N,Science,MAJ01088,Physics,Physics Major,10301,,NA,0,Not Applicable,Major,,,,,,10100,DR,MJ,,,,$NAP
MAJ01089,4,Environmental Science Major BEBSc,Active,MJ,Major,78,0,0,0,N,Science,MAJ01089,Environmental Science,Environmental Science Major,10999,,NA,0,Not Applicable,Major,,,,,,10100,AC,MJ,,,,$NAP
MAJ01090,4,Biomedical Science major BEBSc,Active,MJ,Major,78,0,0,0,N,Science,MAJ01090,Biomedical Science,Biomedical Science,19901,,NA,0,Not Applicable,Major,,,,,,10100,AC,MJ,,,,$NAP
MAJ01091,3,Nanotechnology Major BEBSc,Active,MJ,Major,78,0,0,0,N,Science,MAJ01091,Nanotechnology,Nanotechnology Major,19999,,NA,0,Not Applicable,Major,,,,,,10100,AC,MJ,,,,$NAP
MAJ01095,6,Mathematics Major BEBSc,Active,MJ,Major,78,0,0,0,N,Science,MAJ01095,Mathematics,Mathematics Major,10101,,NA,0,Not Applicable,Major,,,,,,10100,AC,MJ,,,,$NAP
MAJ01100,4,Chemistry major BSc,Active,MJ,Major,96,0,0,0,N,Science,MAJ01100,Chemistry,Chemistry major BSc,10500,,NA,0,Not Applicable,Major,,,,,,10100,AC,MJ,,,,$NAP
MAJ01101,3,Physics Major BSc,Active,MJ,Major,96,0,0,0,N,Science,MAJ01101,Physics,Physics Major BSc,10301,,NA,0,Not Applicable,Major,,,,,,10100,AC,MJ,,,,$NAP
MAJ01102,2,Nanotechnology Major BSc,Active,MJ,Major,96,0,0,0,N,Science,MAJ01102,Nanotechnology,Nanotechnology Major BSc,19999,,NA,0,Not Applicable,Major,,,,,,10100,AC,MJ,,,,$NAP
MAJ01103,7,Biotechnology major BSc,Active,MJ,Major,96,0,0,0,N,Science,MAJ01103,Biotechnology,Biotechnology Major BSc,10999,,NA,0,Not Applicable,Major,,,,,,10100,AC,MJ,,,,$NAP
MAJ01104,4,Biomedical Science major BSc,Active,MJ,Major,96,0,0,0,N,Science,MAJ01104,Biomedical Science,Biomedical Science,10913,,NA,0,Not Applicable,Major,,,,,,10100,AC,MJ,,,,$NAP
MAJ01105,4,Medical Science major BSc,Active,MJ,Major,96,0,0,0,N,Science,MAJ01105,Medical Science,Medical Science,10900,,NA,0,Not Applicable,Major,,,,,,10100,AC,MJ,,,,$NAP
MAJ01110,3,Mathematics Major BSc,Active,MJ,Major,96,0,0,0,N,Science,MAJ01110,Mathematics,Mathematics Major BSc,10100,,NA,0,Not Applicable,Major,,,,,,10100,AC,MJ,,,,$NAP
MAJ01111,2,Statistics Major BSc,Active,MJ,Major,96,0,0,0,N,Science,MAJ01111,Statistics,Mathematical Statistic Maj BSc,10103,,NA,0,Not Applicable,Major,,,,,,10100,AC,MJ,,,,$NAP
MAJ01112,4,Marine Biology Major BSc LLB BSc BBus,Active,MJ,Major,96,0,0,0,N,Science,MAJ01112,Marine Biology,Marine Biology Major,10900,,NA,0,Not Applicable,Major,,,,,,10100,AC,MJ,,,,$NAP
MAJ01114,3,Medical Science Major BScLLB BScBBus,Active,MJ,Major,96,0,0,0,N,Science,MAJ01114,Medical Science,Medical Science,10999,,NA,0,Not Applicable,Major,,,,,,10100,AC,MJ,,,,$NAP
