StudyPackageCd,Study Package Version,FullTitle,Stage,Study Package Category Type,Category Type Description,CreditPointValue,Nominal Hour Value,Non Credit Point Value,Scheduled Hour Value,Owning Organisational Unit Code,Owning Organisational Unit Name,Study Package Sort Code,Short Title,Abbreviated Title,Primary FOE,Award Code,Award Level Type,Expected Time to Complete,Study Type,Study Package Category,Secondary FOE,Study Package Grading Scheme Code,Study Package Requisite Types,Fee Level Type,Fee Level Code,Keyword,FOE,Study area,,,,,
10024,2,Teaching Adult Literacy and Numeracy,Active,SJ,Subject,6,0,0,0,GE,Initial Teacher Education,10024,Teaching Adult Literacy and Numeracy,Teaching Adult Literacy and Nu,79999,,NA,0,Coursework,Subject,,GN,P,UDFP Funding Cluster,11,10040,"Education, n.e.c.",Education,,,,,
10025,2,Teaching EAL/D and Literacy in Schools,Active,SJ,Subject,6,0,0,0,GE,Initial Teacher Education,10025,Teaching EAL/D and Literacy in Schools,Teaching EAL/D and Literacy in,79999,,NA,0,Coursework,Subject,,GN,P,UDFP Funding Cluster,11,10040,"Education, n.e.c.",Education,,,,,
10026,2,Topics in Language Development,Active,SJ,Subject,6,0,0,0,GE,Initial Teacher Education,10026,Topics in Language Development,Topics in Language Development,79999,,NA,0,Coursework,Subject,,GN,P,UDFP Funding Cluster,11,10040,"Education, n.e.c.",Education,,,,,
10027,2,Developing an Indigenised Curriculum,Active,SJ,Subject,3,0,0,0,GI,International Studies and Languages,10027,Developing an Indigenised Curriculum,Developing an Indigenised Curr,90311,,NA,0,Coursework,Subject,,PN,,UDFP Funding Cluster,3,10040,Indigenous Studies,Education,,,,,
10028,2,Supervising Indigenous Higher Degree Research,Active,SJ,Subject,3,0,0,0,GI,International Studies and Languages,10028,Supervising Indigenous Higher Degree Research,Supervising Indigenous Higher,90311,,NA,0,Coursework,Subject,,PN,,UDFP Funding Cluster,3,10040,Indigenous Studies,Education,,,,,
10029,2,Teaching Indigenous University Students,Active,SJ,Subject,3,0,0,0,GI,International Studies and Languages,10029,Teaching Indigenous University Students,Teaching Indigenous University,90311,,NA,0,Coursework,Subject,,PN,,UDFP Funding Cluster,3,10040,Indigenous Studies,Education,,,,,
10042,1,Student Learning and Teaching Approaches,Active,SJ,Subject,6,0,0,0,G,Arts and Social Sciences,10042,Student Learning and Teaching Approaches,Student Learning Teaching,70111,,NA,0,Coursework,Subject,,Q3,P,UDFP Funding Cluster,11,10040,Teacher Education: Higher Education,Education,,,,,
10043,2,Course Design and Assessment,Active,SJ,Subject,6,0,0,0,G,Arts and Social Sciences,10043,Course Design and Assessment,Course Design and Assessment,70111,,NA,0,Coursework,Subject,,Q3,P,UDFP Funding Cluster,11,10040,Teacher Education: Higher Education,Education,,,,,
10044,2,Scholarly Teaching and Learning Project,Active,SJ,Subject,6,0,0,0,G,Arts and Social Sciences,10044,Scholarly Teaching and Learning Project,Scholarly Teaching Learning,70111,,NA,0,Coursework,Subject,,PN,P,UDFP Funding Cluster,11,10040,Teacher Education: Higher Education,Education,,,,,
10045,1,Reflective Academic Practice,Active,SJ,Subject,6,0,0,0,G,Arts and Social Sciences,10045,Reflective Academic Practice,Reflective Academic Practice,70111,,NA,0,Coursework,Subject,,Q3,P,UDFP Funding Cluster,11,10040,Teacher Education: Higher Education,Education,,,,,
10046,1,Learning Futures: Teaching for Complexity and Diversity,Active,SJ,Subject,6,0,0,0,GE,Initial Teacher Education,10046,Learning Futures: Teaching for Complexity and Diversity,Learning Futures: Teaching for,70105,,NA,0,Coursework,Subject,,GN,P,UDFP Funding Cluster,11,10040,Teacher Education: Secondary,Education,,,,,
10047,1,Literacy and Numeracy Across the Curriculum,Active,SJ,Subject,6,0,0,0,GE,Initial Teacher Education,10047,Literacy and Numeracy Across the Curriculum,Literacy and Numeracy Across t,70105,,NA,0,Coursework,Subject,,GN,P,UDFP Funding Cluster,11,10040,Teacher Education: Secondary,Education,,,,,
10048,1,Professional Learning,Active,SJ,Subject,6,0,0,0,GE,Initial Teacher Education,10048,Professional Learning,Professional Learning,70105,,NA,0,Coursework,Subject,,GN,P,UDFP Funding Cluster,11,10040,Teacher Education: Secondary,Education,,,,,
10049,1,Understanding and Engaging Adolescent Learners,Active,SJ,Subject,6,0,0,0,GE,Initial Teacher Education,10049,Understanding and Engaging Adolescent Learners,Understanding and Engaging Ado,70105,,NA,0,Coursework,Subject,,GN,P,UDFP Funding Cluster,11,10040,Teacher Education: Secondary,Education,,,,,
10050,4,Student Welfare: Implications for Teaching and Learning,Active,SJ,Subject,6,0,0,0,GG,International Studies and Global Societies,10050,Student Welfare: Implications for Teaching and Learning,Student Welfare,70103,,NA,0,Coursework,Subject,,GN,P,UDFP Funding Cluster,11,10040,Teacher Education: Primary,Education,,,,,
10051,2,Beginning Teaching: Surviving and Thriving,Active,SJ,Subject,6,0,0,0,GE,Initial Teacher Education,10051,Beginning Teaching: Surviving and Thriving,Beginning Teaching,70103,,NA,0,Coursework,Subject,,GN,P,UDFP Funding Cluster,11,10040,Teacher Education: Primary,Education,,,,,
10058,2,Advancing Academic Practice,Active,SJ,Subject,3,0,0,0,G,Arts and Social Sciences,10058,Advancing Academic Practice,Advancing Academic Practice,70111,,NA,0,Coursework,Subject,,Q3,P,UDFP Funding Cluster,11,10040,Teacher Education: Higher Education,Education,,,,,
10060,3,Teaching for Learning,Active,SJ,Subject,3,0,0,0,G,Arts and Social Sciences,10060,Teaching for Learning,Teaching for Learning,70111,,NA,0,Coursework,Subject,,Q3,P,UDFP Funding Cluster,11,10040,Teacher Education: Higher Education,Education,,,,,
10062,1,Evidencing Academic Practice,Active,SJ,Subject,3,0,0,0,G,Arts and Social Sciences,10062,Evidencing Academic Practice,Evidencing Academic Practice,70111,,NA,0,Coursework,Subject,,Q3,P,UDFP Funding Cluster,11,10040,Teacher Education: Higher Education,Education,,,,,
10063,1,Feedback and Assessment,Active,SJ,Subject,3,0,0,0,G,Arts and Social Sciences,10063,Feedback and Assessment,Feedback and Assessment,70111,,NA,0,Coursework,Subject,,Q3,P,UDFP Funding Cluster,11,10040,Teacher Education: Higher Education,Education,,,,,
10064,1,Technology-Enhanced Learning,Active,SJ,Subject,3,0,0,0,G,Arts and Social Sciences,10064,Technology-Enhanced Learning,Technology-Enhanced Learning,70111,,NA,0,Coursework,Subject,,Q3,P,UDFP Funding Cluster,11,10040,Teacher Education: Higher Education,Education,,,,,
10065,1,Practising Inclusion: Working and Teaching for Social Justice,Active,SJ,Subject,3,0,0,0,G,Arts and Social Sciences,10065,Practising Inclusion: Working and Teaching for Social Justice,Practising Inclusion: Working,70111,,NA,0,Coursework,Subject,,Q3,P,UDFP Funding Cluster,11,10040,Teacher Education: Higher Education,Education,,,,,
10066,1,Student Agency and Teamwork,Active,SJ,Subject,3,0,0,0,G,Arts and Social Sciences,10066,Student Agency and Teamwork,Student Agency and Teamwork,70111,,NA,0,Coursework,Subject,,Q3,P,UDFP Funding Cluster,11,10040,Teacher Education: Higher Education,Education,,,,,
10067,1,Course Design,Active,SJ,Subject,3,0,0,0,G,Arts and Social Sciences,10067,Course Design,Course Design,70111,,NA,0,Coursework,Subject,,Q3,P,UDFP Funding Cluster,11,10040,Teacher Education: Higher Education,Education,,,,,
10070,4,TESOL Practicum,Active,SJ,Subject,6,0,0,0,GE,Initial Teacher Education,10070,TESOL Practicum,TESOL Practicum,79999,,NA,0,Coursework,Subject,,Q3,AP,UDFP Funding Cluster,11,10040,"Education, n.e.c.",Education,,,,,
10140,2,Exchange Elective 1 (Education),Active,SJ,Subject,6,0,0,0,GE,Initial Teacher Education,10140,Exchange Elective 1 (Education),Exchange Elective 1 Education,79999,,NA,0,Coursework,Subject,,PN,,UDFP Funding Cluster,11,10040,"Education, n.e.c.",Education,,,,,
10141,2,Exchange Elective 2 (Education),Active,SJ,Subject,6,0,0,0,GE,Initial Teacher Education,10141,Exchange Elective 2 (Education),Exchange Elective 2 Education,79999,,NA,0,Coursework,Subject,,PN,,UDFP Funding Cluster,11,10040,"Education, n.e.c.",Education,,,,,
10142,2,Exchange Elective 3 (Education),Active,SJ,Subject,6,0,0,0,GE,Initial Teacher Education,10142,Exchange Elective 3 (Education),Exchange Elective 3 Education,79999,,NA,0,Coursework,Subject,,PN,,UDFP Funding Cluster,11,10040,"Education, n.e.c.",Education,,,,,
10143,2,Exchange Elective 4 (Education),Active,SJ,Subject,6,0,0,0,GE,Initial Teacher Education,10143,Exchange Elective 4 (Education),Exchange Elective 4 (Education,79999,,NA,0,Coursework,Subject,,PN,,UDFP Funding Cluster,11,10040,"Education, n.e.c.",Education,,,,,
10301,2,Think: Learning Theories and Implications for Learning Design,Active,SJ,Subject,3,0,0,0,GA,Professional Learning,10301,Think: Learning Theories and Implications for Learning Design,Think: Learning Theories and I,79999,,NA,0,Coursework,Subject,,GN,AP,UDFP Funding Cluster,11,10040,"Education, n.e.c.",Education,,,,,
10302,2,Design: Designing for Learning,Active,SJ,Subject,3,0,0,0,GA,Professional Learning,10302,Design: Designing for Learning,Design: Designing for Learning,79999,,NA,0,Coursework,Subject,,GN,AP,UDFP Funding Cluster,11,10040,"Education, n.e.c.",Education,,,,,
10303,2,Critique: Issues in Learning Design,Active,SJ,Subject,3,0,0,0,GA,Professional Learning,10303,Critique: Issues in Learning Design,Critique: Issues in Learning D,79999,,NA,0,Coursework,Subject,,GN,P,UDFP Funding Cluster,11,10040,"Education, n.e.c.",Education,,,,,
